,time,text,deaths,death_score,injuries,injury_score,location,location_score,tweet_loc
10,2021-09-05T19:04:18.000Z,"While we report gross civilian casualties in Amhara &amp; Afar by #TPLFLooters,  humanitarian organizations &amp; western media are asking for almost a photograph of a flying bullet as evidence.  What a shame! \n@amnesty @SecBlinken @GenocideWatch1 @CNN @BBCWorld @PowerUSAID @nytimes @AFP",500,"{'500': {'none': 0.5392260551452637, '4000': 0.040617436170578, '4': 0.02971635013818741, '0': 0.02791593037545681, '1': 0.02521994151175022}}",4000,"{'4000': {'none': 0.1516323685646057, '4000': 0.1180914044380188, '5000': 0.1002228781580925, '3000': 0.0786658301949501, '1000': 0.06470874696969986}}",Afar,"{'A': {'Am': 0.4098503589630127, 'A': 0.2447328120470047, 'Eth': 0.11560359597206116, 'T': 0.0459839329123497, 'Af': 0.04387817531824112}, 'far': {'far': 0.9533262848854065, 'fr': 0.015409084036946297, 'mar': 0.005668685305863619, 'man': 0.004414776805788279, 'fa': 0.004278948530554771}}","[32.9976911, 3.4049624, 47.9994768, 14.8942137]"
11,2021-08-29T21:48:28.000Z,"As tough as #Hurricane_Ida is for Louisiana, I feel that listening to @bbc5live and stories of trampolines lifting and loss of power, how much air time did @BBCWorld @BBCNews give to #Haitiearthquake2021 ? Check the death toll and damage! https://t.co/0leHHaivXJ",0,"{'50': {'none': 0.34179696440696716, '20': 0.054080136120319366, '4': 0.02827645093202591, '40': 0.02635655179619789, '10': 0.02635655179619789}}",4,"{'4': {'none': 0.22410160303115845, '5000': 0.0536462739109993, '3000': 0.04517469182610512, '500': 0.044823139905929565, '1000': 0.043105993419885635}}",Haiti,"{'H': {'H': 0.7405973076820374, 'Louis': 0.07448383420705795, 'Port': 0.046610791236162186, 'New': 0.023621199652552605, '#': 0.006767586804926395}, 'ait': {'ait': 0.9991810917854309, 'ond': 0.0003980454639531672, 'av': 6.297994696069509e-05, 'oll': 5.06058095197659e-05, 'ain': 4.9048830987885594e-05}, 'i': {'i': 0.997896671295166, 'ian': 0.0008958562975749373, 'í': 0.00028410463710315526, 'ia': 0.00012219187919981778, 'ii': 0.00010289587953593582}}","[-0.39216, 51.391383, -0.221832, 51.489646]"
12,2021-08-28T01:14:20.000Z,The death toll in Kabul bombing rises to 170 which includes innocent women and children who were merely trying to get away from monstrous TB and live a Life. \nPlease pray for them and a peaceful neighborhood... \n#FarmersProtest,170,"{'170': {'170': 0.8811219930648804, 'none': 0.03062513656914234, '17': 0.024995507672429085, '70': 0.008638216182589531, '150': 0.0032786971423774958}}",70,"{'70': {'none': 0.6387424468994141, '5000': 0.02496098168194294, '0': 0.023817935958504677, '4000': 0.017978720366954803, '100': 0.017155416309833527}}",Afghanistan,"{'Af': {'K': 0.6104640364646912, 'Af': 0.3533094823360443, '#': 0.0051996661350131035, 'N': 0.004734349902719259, ' Kabul': 0.0035736747086048126}, 'ghan': {'ghan': 0.9947361350059509, 'gan': 0.0026247287169098854, 'gh': 0.0018612113781273365, 'pak': 0.0002121105935657397, 'Pak': 0.00016779328871052712}, 'istan': {'istan': 0.9985414743423462, '|': 0.0007373874541372061, 'ist': 0.0003073888074140996, 'stan': 3.7877733120694757e-05, 'istani': 3.586191814974882e-05}}","[76.167294, 30.072684, 76.654115, 30.448265]"
13,2021-08-26T23:02:58.000Z,"My question is Why? \nUpdate: 12 Dead, 11 Marines &amp; 1 Corpsman. Many wounded…this didn’t need to happen like this. Please pray for our people still over there. #army #navy #marines #usa @ Miami, Florida https://t.co/tePaW9agVG",12,"{'12': {'12': 0.7456372976303101, 'none': 0.06881535053253174, '11': 0.02472931332886219, '1': 0.016602475196123123, '5': 0.012829397805035114}}",11,"{'11': {'11': 0.5231600403785706, 'none': 0.14191097021102905, '10': 0.043280404061079025, '5': 0.021762754768133163, '1': 0.015432103537023067}}","Miami, Florida","{'Miami': {'Miami': 0.25977811217308044, 'Mar': 0.1991787999868393, '12': 0.07619267702102661, 'USA': 0.049579523503780365, 'US': 0.0401507206261158}, ',': {'|': 0.6250093579292297, ',': 0.36172768473625183, ' Florida': 0.0028053175192326307, ' |': 0.0014328157994896173, '-': 0.0009694916661828756}, ' Florida': {' Florida': 0.9684286117553711, ' FL': 0.011362997815012932, 'Florida': 0.00392694678157568, ' USA': 0.0028064625803381205, ' Flor': 0.001783896004781127}}","[-80.321683, 25.7090404, -80.144974, 25.855667]"
14,2021-08-26T18:03:36.000Z,Fox News reporting US military death toll now up to 10. Pray for our country.,10,"{'10': {'10': 0.8044402599334717, 'none': 0.12336491048336029, '5': 0.006436736788600683, '10000': 0.004746152088046074, ' 10': 0.004028006922453642}}",-1,"{'none': {'none': 0.6162777543067932, '10': 0.04570169001817703, '0': 0.030206970870494843, '100': 0.029049761593341827, '50': 0.021253259852528572}}","America, United States","{'America': {'US': 0.4046911895275116, 'United': 0.21661558747291565, 'USA': 0.100735604763031, '\n': 0.04298868030309677, 'America': 0.04038412496447563}, ',': {'|': 0.9776108860969543, '/': 0.007883714511990547, ',': 0.0043879481963813305, '#': 0.0016917047323659062, ' |': 0.0015164342476055026}, ' United': {' US': 0.4448030889034271, ' USA': 0.15859943628311157, ' United': 0.13672125339508057, ' U': 0.034032609313726425, ' Iraq': 0.026298360899090767}, ' States': {' States': 0.9874910116195679, ' states': 0.0033456715755164623, ' State': 0.00273065734654665, '|': 0.001735711470246315, ' Kingdom': 0.001129448995925486}}","[-83.67529, 36.540739, -75.16644, 39.466012]"
15,2021-08-26T16:21:03.000Z,"**** My heart is breaking... 2 Isis Terror Attacks at the Kabul airport. 3 U.S troops injured, many casualties! Issis is now threatening a rocket attack. Plz pray for our troops, our Alli troops and Afghan people.****** DO NOT watch the vid it is very graphic****",3000,"{'3000': {'none': 0.24481989443302155, '2': 0.22642138600349426, '3': 0.21945513784885406, '4': 0.0258038267493248, '1': 0.02089657634496689}}",5000,"{'5000': {'none': 0.20230591297149658, '2': 0.07618910074234009, '2000': 0.06169981136918068, '3000': 0.045140549540519714, '3': 0.043411243706941605}}",Afghanistan,"{'Af': {'Af': 0.644737184047699, 'K': 0.2772980332374573, 'Is': 0.010585316456854343, 'U': 0.005984395742416382, 'N': 0.0041777812875807285}, 'ghan': {'ghan': 0.9929919242858887, 'gan': 0.0038722953759133816, 'gh': 0.0022764052264392376, 'g': 0.00030330164008773863, 'rica': 0.00015370578330475837}, 'istan': {'istan': 0.9947981834411621, '|': 0.0034235049970448017, 'ist': 0.0005995819228701293, ' people': 8.43770249048248e-05, ' Afghanistan': 8.051312033785507e-05}}","[-115.384091, 36.129459, -115.062159, 36.336371]"
16,2021-08-23T16:47:59.000Z,"This happened last week in E. St. Louis...\nApartment fire that resulted in 5 children.dead 🥺\nY'all pray for Sabrina Dunigan the family.\n\nhttps://t.co/UWYaSkEkGE @ East Saint Louis, Illinois https://t.co/nbDsmNauS6",5,"{'5': {'5': 0.578732430934906, 'none': 0.2568109631538391, 'dead': 0.024645401164889336, '5000': 0.016417376697063446, '500': 0.014488283544778824}}",-1,"{'none': {'none': 0.5602917671203613, '5': 0.07349428534507751, '5000': 0.04122656211256981, '4': 0.030161995440721512, '500': 0.02855680324137211}}",St. Louis,"{'St': {'E': 0.47135305404663086, 'East': 0.2949652075767517, 'St': 0.08651302009820938, 'Saint': 0.02440211921930313, '\n': 0.021534791216254234}, '.': {'.': 0.7295244932174683, ' Louis': 0.26421627402305603, 'Louis': 0.001583409495651722, ',': 0.00145301828160882, '-': 0.0004003485955763608}, ' Louis': {' Louis': 0.9846798777580261, 'Louis': 0.013827946037054062, ' lou': 0.0001713694800855592, ' L': 0.00015725745470263064, ' Lou': 0.00014207027561496943}}","[-90.183218, 38.57847, -90.042091, 38.645742]"
17,2021-08-22T23:58:38.000Z,"that mother lost her 5 children, FIVE CHILDREN— to a house fire. My stomach hurts so bad. that pains me and it’s beyond sad. I pray for her mental health and healing. may her babies rest easy 🤧🥺",5,"{'5': {'5': 0.502269446849823, 'none': 0.26467740535736084, '5000': 0.037247106432914734, '4': 0.023675700649619102, '500': 0.021222760900855064}}",4,"{'4': {'none': 0.4672684967517853, '4': 0.07627949118614197, '4000': 0.06627276539802551, '5': 0.06225750595331192, '5000': 0.0438036248087883}}",United States,"{'United': {'\n': 0.07965561002492905, 'N': 0.05517582967877388, 'France': 0.0518328882753849, 'California': 0.05102929845452309, 'United': 0.041648901998996735}, ' States': {' States': 0.9002934694290161, ' Kingdom': 0.08505906164646149, ' states': 0.004040914122015238, ' Arab': 0.003825860098004341, ' State': 0.0024318646173924208}}","[-75.280284, 39.871811, -74.955712, 40.13792]"
18,2021-08-21T15:00:37.000Z,"A week ago today a 7.2-magnitude earthquake rocked #Haiti, killing at least 2,000 people and injuring 12,000 more. 130,000 homes are destroyed.\n\nOur teams are working to provide medical care, logistics support and essential items.\n\nDonate to #HelpHaiti: https://t.co/nrYbSCKnYO https://t.co/HWMBx9wqhe",2000,"{'2': {'2': 0.3121069073677063, '12': 0.2248021811246872, 'none': 0.086668960750103, '2000': 0.06645139306783676, '4000': 0.05215829983353615}, ',': {',': 0.9435035586357117, '|': 0.02635018154978752, 'k': 0.01225397177040577, 'K': 0.007203738205134869, '.': 0.0020004059188067913}, '000': {'000': 0.9793884754180908, '100': 0.003292397130280733, '001': 0.003117178799584508, '0': 0.0011739402543753386, '200': 0.0010523132514208555}}",12000,"{'12': {'12': 0.8815573453903198, 'none': 0.011271923780441284, '10': 0.011097169481217861, '10000': 0.010025456547737122, '5000': 0.008916826918721199}, '000': {',': 0.9262479543685913, '000': 0.06303196400403976, '|': 0.0042228782549500465, '0000': 0.004092954099178314, 'K': 0.0006526785437017679}}",Haiti,"{'H': {'H': 0.9795767068862915, 'Port': 0.005471870768815279, 'Ha': 0.0034242093097418547, '#': 0.0032167464960366488, ' Haiti': 0.0009434688254259527}, 'ait': {'ait': 0.9996039271354675, 'ond': 0.00020338778267614543, 'ai': 4.467836697585881e-05, 'av': 2.211739592894446e-05, 'ain': 1.9981400328106247e-05}, 'i': {'i': 0.9994053840637207, 'ian': 0.00015836709644645452, 'í': 0.0001038596747093834, 'I': 4.5372933527687564e-05, 'ia': 3.58929464709945e-05}}","[-74.4798235, 18.0214258, -71.6284598, 20.0894352]"
19,2021-08-21T11:23:18.000Z,No damage and loss of life is reported till now.\nKarachi feel tremors of 3.1 magnitude.\nMay ALLAH protect us all.\n#earthquake https://t.co/JXzNEODdQl,31,"{'3': {'none': 0.792339026927948, '0': 0.06015137955546379, '3': 0.02265321835875511, 'None': 0.014626015909016132, 'no': 0.008531279861927032}, '.': {'.': 0.7799149751663208, '|': 0.12340047955513, '100': 0.029771747067570686, ',': 0.01618661917746067, '0000': 0.015811655670404434}, '1': {'1': 0.9718602895736694, '2': 0.005428767297416925, '0': 0.0038495720364153385, '5': 0.0020285819191485643, '10': 0.0017082373378798366}}",-1,"{'none': {'none': 0.6897116303443909, '0': 0.08109720796346664, '3': 0.050749339163303375, '1': 0.02287452109158039, '2': 0.014653967693448067}}",Karachi,"{'Kar': {'Kar': 0.6991756558418274, 'Pakistan': 0.20993058383464813, 'K': 0.04133778437972069, 'Ch': 0.006540587171912193, '\n': 0.003612055443227291}, 'achi': {'achi': 0.9996438026428223, 'ach': 0.00027369908639229834, 'acha': 7.351040039793588e-06, 'acho': 6.58943008602364e-06, 'ai': 6.3866941673040856e-06}}","[66.654132, 23.703272, 71.124185, 28.529442]"
20,2021-08-19T15:39:15.000Z,"#Haiti earthquake death toll rises to 2,189, over 12,000 injured &amp; more than 1.2m people impacted by disaster that struck the country last weekend https://t.co/o4JB3GpMT3",2189,"{'2': {'2': 0.5564427971839905, '12': 0.05910862609744072, '22': 0.04675877094268799, 'none': 0.03315693140029907, '20': 0.024069353938102722}, '189': {'189': 0.9758137464523315, ',': 0.006273890845477581, '190': 0.003805306972935796, '187': 0.00346477166749537, '188': 0.0018837637035176158}}",12000,"{'12': {'12': 0.8578985929489136, 'none': 0.019251924008131027, 'over': 0.013975396752357483, '6000': 0.012429974973201752, '120': 0.010467087849974632}, '000': {'000': 0.9411597847938538, '0000': 0.027119090780615807, ',': 0.018349695950746536, '200': 0.0021241314243525267, '500': 0.001393039245158434}}",Haiti,"{'H': {'H': 0.9706956148147583, '#': 0.008013582788407803, 'Ha': 0.0036403341218829155, 'Port': 0.0030416131485253572, ' #': 0.002835094928741455}, 'ait': {'ait': 0.9995937943458557, 'ond': 0.00020658857829403132, 'ai': 4.1320312448078766e-05, 'av': 3.143483991152607e-05, 'ain': 2.126987419615034e-05}, 'i': {'i': 0.9990519881248474, 'ian': 0.00039799403748475015, 'ia': 0.0001312445237999782, 'í': 8.213071851059794e-05, 'ï': 3.9406750147463754e-05}}","[35.59812591978788, -0.17524245127580623, 35.59812591978788, -0.17524245127580623]"
21,2021-08-19T06:08:24.000Z,"The death toll from a powerful earthquake that hit #Haiti last weekend has risen to 2,189, with over 12,000 injured, according to Haiti’s Civil Protection Agency. Aid has been slowly trickling in to help the thousands who were left homeless. AP https://t.co/Pn20XjINCK",2189,"{'2': {'2': 0.47537752985954285, '12': 0.13098028302192688, '22': 0.041214775294065475, '2000': 0.0408940352499485, 'none': 0.03637190908193588}, '189': {'189': 0.9475602507591248, ',': 0.02299186773598194, '190': 0.007701311260461807, '187': 0.004187130369246006, '188': 0.0027459871489554644}}",12000,"{'12': {'12': 0.8055132627487183, 'over': 0.04509030282497406, '10000': 0.018361015245318413, '120': 0.010139916092157364, 'none': 0.009525569155812263}, '000': {'000': 0.9231939911842346, ',': 0.03158996254205704, '0000': 0.03061804361641407, '2000': 0.0014098233077675104, '100': 0.0010725370375439525}}",Haiti,"{'H': {'H': 0.9602111577987671, 'Port': 0.010501605458557606, 'Ha': 0.007388802245259285, '#': 0.005533957853913307, 'HA': 0.002100453246384859}, 'ait': {'ait': 0.9992973804473877, 'ond': 0.00024525728076696396, 'ai': 8.67686394485645e-05, 'av': 4.608247400028631e-05, 'ain': 3.0458657420240343e-05}, 'i': {'i': 0.9991599321365356, 'ian': 0.00025300774723291397, 'is': 8.541165880160406e-05, 'ia': 7.656252273591235e-05, 'í': 7.59667091188021e-05}}","[88.094457, 22.269493, 88.610027, 22.955918]"
22,2021-08-18T08:51:32.000Z,"The Death Toll From #Haiti's #Earthquake Rises By 500 To 1,941\n\nhttps://t.co/yB0lrzir8y",1941,"{'19': {'1': 0.313363254070282, '18': 0.1423516869544983, '19': 0.11260945349931717, 'none': 0.09707541018724442, '17': 0.040152132511138916}, '41': {'41': 0.9963931441307068, '42': 0.0007187561714090407, '40': 0.0006147847161628306, '01': 0.0002582904417067766, '54': 0.0002315300516784191}}",13000,"{'13': {'none': 0.3621702492237091, '9': 0.08272748440504074, '1': 0.0624459832906723, '18': 0.036998018622398376, '1000': 0.031399812549352646}, '000': {'00': 0.2991948425769806, '000': 0.19317471981048584, ',': 0.06572438776493073, '50': 0.038038354367017746, '41': 0.02826770581305027}}",Haiti,"{'H': {'H': 0.9373056292533875, 'Port': 0.022390447556972504, 'Ha': 0.007737931329756975, '#': 0.007383586373180151, 'P': 0.0029369876720011234}, 'ait': {'ait': 0.9991700649261475, 'ond': 0.00046535718138329685, 'av': 5.734325895900838e-05, 'ai': 5.4291507694870234e-05, 'ain': 4.7539229854010046e-05}, 'i': {'i': 0.9986885190010071, 'ian': 0.00035662975278683007, 'í': 0.0002266876690555364, 'ï': 9.303243859903887e-05, 'ia': 8.404780965065584e-05}}","[38.9296592, 20.9137751, 39.5785981, 22.2576464]"
