,time,text
18,2022-07-27T23:24:22.000Z,"Please pray for my guidance, I mean me gan gan gan. \nI lost my wallet this evening out of shayo. Make una nor vex for me. \nI am a wallet person, all of my 4atm active bank accounts, my driver's license, my references,my pvcy,  omo, this na strong thing wey do me me hooooo."
19,2022-07-27T23:24:07.000Z,I’ve been filing Divorces for 16 years and honestly some relationships could’ve ended sooner and avoided years of damage if they never got married.
20,2022-07-27T23:23:43.000Z,"@_fish_tacos @FunmanLone @realDailyWire Yeah and you guys lump is in all together too so tough luck..fouci has been around forever you just didn't know cuz no one told you to have him . Also , he's Italian, so I'm bias :) (ok that was a joke ) he did s good job with handling the aids crisis and he did s good job here"
21,2022-07-27T23:23:29.000Z,"I pray that August and September are months filled with good news, blessings, growth, new opportunities, healing, love and God’s favor✨"
22,2022-07-27T23:22:47.000Z,@Libertyville22 @Hamletgarcia17 Their planned destruction of our Constitutional Republic.
23,2022-07-27T23:22:33.000Z,@FuhrerKingPanda @ManlyBats Yes. We wanted to catch her before she goes away for a year to be drydocked in Galveston to repair the damage that San Jacinto's brackish water has done to her.
24,2022-07-27T23:22:08.000Z,"Those two things that ends with alth, pray to have them both.\nAmin"
25,2022-07-27T23:21:19.000Z,About time we should not mess with Indians on religion we wish to pray our own way not forced any religion on us https://t.co/r93QkVBs0Q
26,2022-07-27T23:21:17.000Z,HCA Florida Ocala Hospital provides unparalleled career opportunities in all clinical specialties. See if you’re the right fit for this opening: https://t.co/jtY7G3EwL9 #Emergency #ER
27,2022-07-27T23:21:05.000Z,"@LePapillonBlu2 Haven’t been able to read ANY fiction since 45 was elected six years ago , it seemed too frivolous in the face of the damage he was inflicting on our country ! BUT  I could reread Stephen King and  started w the STAND. FLAGG=45 ,MOON spells Garland hope this story ends the same."
28,2022-07-27T23:20:58.000Z,"I'm still working on me,my happiness,my money,my inner peace and mental health . Loving me won't be easy,l pray God leads me to someone who understands"
29,2022-07-27T23:20:42.000Z,Closed due to police activity. in #Austin on TX-45-TOLL EB between FM-734/Parmer Ln and FM-620/RR-620 #ATXtraffic https://t.co/8laei8iLor
30,2022-07-27T23:20:38.000Z,"It is a minor strain and the opposite of a global emergency. Too much data, too much fearmongering. https://t.co/pDxdaUtxGs"
31,2022-07-27T23:20:34.000Z,As sad as it is that the labour party has been corrupted and destroyed by the right wing it's completely useless now and would constantly just face this back and forth battle for marginal control. You might as well get a new group/party/idea going
32,2022-07-27T23:20:10.000Z,Nothing says economic crisis like McDonald’s putting their prices up 🍟🤷🏾‍♂️ https://t.co/h40sngYc5J
33,2022-07-27T23:20:02.000Z,74.8F (Feels: 80.0F) - Humidity: 97% - Wind: 3.8mph S - Gust: 2.7mph - Pressure: 29.969in #weather https://t.co/75yzNJ23Eh
34,2022-07-27T23:19:12.000Z,@CaptainSaYo_ @DeHybrid_Dave Betting no good 💔😣\nHe go damage you emotionally
35,2022-07-27T23:19:08.000Z,@erinkatedolan Coastal Carolina will be ranked in the top 10 💯
36,2022-07-27T23:18:39.000Z,"“Burn the rice, be an unreliable woman in the house! That is always nice”\n\nLas Las enjoy your pleasure!"
37,2022-07-27T23:18:16.000Z,"This is a zero tolerance abortion state where law enforcement just facilitated a mass rape....\n\nIndiana? Take care of fucking business.\n\nFemale inmates raped, assaulted after Clark County Jail officer sold cell keys: lawsuit https://t.co/Dzzv06pwQa via @nypost"
38,2022-07-27T23:17:51.000Z,"USGS reports a M0.7 earthquake, 5 km WSW of Cromberg, California on 7/27/22 @ 6:45:50 UTC https://t.co/38XJ3M2bdp #earthquake"
39,2022-07-27T23:17:44.000Z,I’m about to burn my dinner Fuckin with y’all on here
40,2022-07-27T23:17:36.000Z,Pray for Owo 🙏🏽 another attack tonight
41,2022-07-27T23:17:32.000Z,"Amaka all the house mates are advising you now and you have refused to listen, let's see if @Ebuka would give you a word of advice because your positive energy is gone and I pray this would not affect you next week. #BBNija"
42,2022-07-27T23:17:14.000Z,Currently Listening to “Everywhere at the end of time” which is a 6 hour album with no lyrics that is supposed to sound like the feeling of having dementia. It is one of the most terrifying things I’ve ever come across yet is so incredibly amazing.
43,2022-07-27T23:17:12.000Z,@JamieSale @rdrgz_l When will they just come out and admit they new the fake Jab was poison. 🤔 Where almost there people hold on it's going to be one crisis after another to make us forget.
44,2022-07-27T23:16:59.000Z,"If and when you wake up in the middle of the night for no reason ,Pray."
45,2022-07-27T23:16:55.000Z,@Mama__B Fresh basil can burn so easily. Is it bitter tasting?
46,2022-07-27T23:16:41.000Z,No outage on Amazon Prime Video. https://t.co/YWJHrij2Fo
47,2022-07-27T23:16:08.000Z,It’s not an emergency if you aren’t gay having booty sex. Even the CDC says so. https://t.co/Fzv1cJbySA
48,2022-07-27T23:16:03.000Z,@brandysissyslut @MpoppEileen @VehementRedhead @tbiadvice @para82nd_1 @JeffreySHarper1 @Puzzler1323 @mick7192 @BiddenJill @42Gnome @SonOfPepilepew @SwearengenMaude @kpu6600 @doug_in_nc @RememberMeYeah @Stand2getherAll @RickyCa69392149 @MarciaBunney @CrumpTrump @OklahomaPatrio1 @smiths_hacker @cOunTerCultUer @CherylHirschi @sander1957 @1933Baby @WendyMichele48 @DexMacmo @MondayBlue19 @wtfjhtagain @BPeske @DWilloughy @Narc_Problems @debiowens @yeahunoeme @dogismycat3 @koslen_bambi @paganlady76 @LesterMoe6 @cow_cousin @HowNowCow2020 Never mind Eileen said everything I thought I was going to say. Burn baby burn!
49,2022-07-27T23:15:56.000Z,"Lexington, KY (7:06 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 7:06 PM local time and impacted at least 4 homes."
50,2022-07-27T23:15:56.000Z,"Glenpool, OK (6:04 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 6:04 PM local time and impacted at least 6 homes."
51,2022-07-27T23:15:56.000Z,"Bixby, OK (6:02 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 6:02 PM local time and impacted at least 16 homes."
52,2022-07-27T23:15:55.000Z,"Glenpool, OK (5:59 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 5:59 PM local time and impacted at least 6 homes."
53,2022-07-27T23:15:55.000Z,"Aurora, CO (4:57 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 4:57 PM local time and impacted at least 9 homes."
54,2022-07-27T23:15:52.000Z,"HAH...now J6 Com star witness, Cassidy Hutchinson, is now cooperating fully with the DOJ investigation.\n\nI love it...I hope she does as much damage on Trump with the DOJ as she did with the J6 Com...\n\nGo Cass!🤣👍👆"
55,2022-07-27T23:15:28.000Z,"@TheComebackSpot You want the world to burn, do you?"
56,2022-07-27T23:15:10.000Z,Please pray as German comes in
57,2022-07-27T23:15:07.000Z,Here the first look at my sponsor to @DontizzleGaming for our monthly Merciless KOTH! Are bruties and fatalities allow :) tune todays Event at 7pm east for more details!!!! https://t.co/vKUdtSFarN
58,2022-07-27T23:14:51.000Z,"USGS reports a M0.3 earthquake, 3 km SSE of Sierraville, California on 7/27/22 @ 6:23:22 UTC https://t.co/p7UJbPtxlC #earthquake"
59,2022-07-27T23:14:48.000Z,@writegud That stinks for you!-I’m really sorry! Tell them you’re hurt and crash the party!
60,2022-07-27T23:14:28.000Z,Fine @FordExplorerr don't let me buckle my seatbelt and let me die in a fiery crash. My sanity is hanging on by a thread anyway.
61,2022-07-27T23:14:12.000Z,"@kyle_newman CRASH INTO ME is an all timer, tho."
62,2022-07-27T23:14:02.000Z,"Trending #BuhariMustGo is a waste of time.\n\nEven if he goes, he has done the damage already."
63,2022-07-27T23:13:56.000Z,"LA County Supervisor Kathryn Barger, LACoFD Interim Chief Anthony Marrone and Trevor Chandler from our client Citizen, hosted a livestream this morning which focused on emergency preparedness and the many resources available to LA County residents. https://t.co/0Aykh8hr76"
64,2022-07-27T23:13:41.000Z,"@Pontifex Time is running out, your days are numbered,  have you done enough damage yet.  Are you satisfied with the cancer you brought with your Papacy.  I pray for your conversion of heart before it's too late."
65,2022-07-27T23:13:30.000Z,"Collapsed into bed at 1:10am after a fantastic day celebrating my 20th wedding anniversary. Thank you for all the love and best wishes shared from friends, loved ones &amp; random strangers that live in my phone. Je t’aime xxx"
66,2022-07-27T23:13:11.000Z,@kotenokrosa @PaulTheriot9 @Duchess36N @ChuckCallesto Democratic bliss? Who won the 2020 election for potus? Was covid a hoax? Does the data prove vaccinated ppl die from covid far less than anti vaxxers? Was Jan. 6th an insurrection incited by the reckless lies &amp; propaganda coming from Trump? Is there a climate crisis?
67,2022-07-27T23:13:00.000Z,Now folks are demanding @AndyBeshearKY be contacted about all this displacement. They said they all voted for him and where is he during this emergency? But one woman noted the governor can come to the area for ribbon cuttings.
68,2022-07-27T23:13:00.000Z,@NoleGangOrigin I didn’t think there was anyone left from the high table and he got his buddy his hotel back albeit utterly destroyed lol - can’t imagine what the storyline will be but I’ll watch it like I do the others lol 😂🤷🏻‍♀️
69,2022-07-27T23:12:59.000Z,@mjrowland68 @BreakfastNews @AngusTaylorMP Dead set moron. He is part of the mob that caused this crisis.
70,2022-07-27T23:12:42.000Z,Cleared: Motor Vehicle Crash: COLUMBIA - Route 87 Crash REOPENED between Latham Hill Road &amp; Cook Hill Road Reported at 6:07 pm and...
71,2022-07-27T23:12:26.000Z,Prayer for healing to All earthquake victims and our country Philipinnes Amen. https://t.co/VA1Pyu3azw
72,2022-07-27T23:12:17.000Z,"Thanks @Matt_Reese06 (Assistant Director, Football Academics) for speaking to our students about return to learn after athletic injuries. Multidisciplinary teams improve patient care! @uh_mat https://t.co/zY1EdNj2vj"
73,2022-07-27T23:12:17.000Z,@SheriffEd_HCSO @HCSOTexas Crazy but why would they be discussing their divorce there instead of letting their lawyers handle it? Tragic situation but the wife should have known better to invite her boyfriend
74,2022-07-27T23:12:07.000Z,#WHO World health emergency but the Mexican government doesn't care.
75,2022-07-27T23:12:06.000Z,"At 5:15 PM CDT, 2 NE Pensacola [Mayes Co, OK] EMERGENCY MNGR reports TSTM WND DMG. 3 HIGH POWER TRANSMISSION LINE STRUCTURES HAVE BEEN DESTROYED NEAR THE INTERSECTION OF HIGHWAY 28 AND N 444 RD. HIGHWAY 28 IS CURRENTLY SHUTDOWN DUE TO LINES ACROSS... https://t.co/ENuAFGcumW"
76,2022-07-27T23:12:05.000Z,"At 4:40 PM CDT, 2 NE Pryor [Mayes Co, OK] EMERGENCY MNGR reports TSTM WND DMG. CAMPER BLOWN OVER AND A ROOF TORN OFF A BARN NEAR THE INTERSECTION OF N 433 RD AND W 470 RD. TIME ESTIMATED BY RADAR. https://t.co/fa2DH2ZaDc"
77,2022-07-27T23:11:59.000Z,"Mb 4.7 earthquake (reviewed) occured at 2022-07-27T16:47:03 UTC, 118 km WSW of Ternate, Indonesia https://t.co/ZEoXmaG6Ei"
78,2022-07-27T23:11:51.000Z,"USGS reports a M0.7 earthquake, 14 km SE of Smith Valley, Nevada on 7/27/22 @ 6:04:07 UTC https://t.co/2SFVUXxOTp #earthquake"
79,2022-07-27T23:11:51.000Z,"USGS reports a M4.7 earthquake, 118 km WSW of Ternate, Indonesia on 7/27/22 @ 16:47:03 UTC https://t.co/TZ2VNLad2f #earthquake"
80,2022-07-27T23:11:12.000Z,My panda out at Coastal working hard this past Monday! https://t.co/vCaPot7UKu
81,2022-07-27T23:10:22.000Z,@websyd @MurrayWatt The Philippines does its own extra security check in Singapore for flights to Manila.
82,2022-07-27T23:10:10.000Z,7pm: Cloudy 24.8C - Feels: 30C / 86F] - https://t.co/pu4P1J8FJG - Wind: SE 13km/h - Barometer: 101.0 kPa v - Vis: 24.1km - Hum: 62% #Toronto #Weather
83,2022-07-27T23:10:01.000Z,75.0F (Feels: 80.3F) - Humidity: 97% - Wind: 3.7mph S - Gust: 3.2mph - Pressure: 29.964in #weather https://t.co/75yzNJ23Eh
84,2022-07-27T23:09:14.000Z,"One thing about rotten fruit, it falls on it’s on. Nobody has to shake the tree for it to come down! Never seek revenge rotten fruits will always fall by themselves.\n\n￼ Pride goes before destruction, a haughty spirit before a fall.\nProverbs 16:18"
85,2022-07-27T23:08:51.000Z,"USGS reports a M1.07 earthquake, 6km NE of Pinnacles, CA on 7/27/22 @ 23:06:18 UTC https://t.co/AHsmVcaRRQ #earthquake"
86,2022-07-27T23:08:39.000Z,"@PeopleDocGeneva @LizHighleyman @france7776 @ASE From my understanding everyone whoreceived tpoxx sofar are being tracked for effectiveness/safety. In addition there’s already clinical trials at UC Davis and Penn State that have patients enrolled, which should be enough to collect data on.This is a PH emergency and it needs EUA"
87,2022-07-27T23:08:35.000Z,biden not as giving as trump lol he gone tell us pray wear masks. https://t.co/tbrxU39JeN
88,2022-07-27T23:08:32.000Z,Questions that might never be answered because of the selfishness of power hungry Politicians\n\n#BBNaija #BBNaija7 #ENGvSA #earthquake #Beyonce https://t.co/6j6XBB6PCY
89,2022-07-27T23:07:56.000Z,@KennedyMcGovern @media_dunn @KariLake If you want to believe you destroyed me go right ahead I couldn’t care less because I know the truth! By the way you shouldn’t use the “R” word! It is offensive to many which pretty much shows your ignorance right there!
90,2022-07-27T23:07:45.000Z,i can’t wait to come back to BG. I can smell the burn of those tacos. https://t.co/ZCRthE9Q26
91,2022-07-27T23:07:24.000Z,The Needle And The Damage Done https://t.co/lUetj1MPCp
92,2022-07-27T23:07:04.000Z,Population overcrowding presents a major component in climate change. Philippines typhoon cost 250 million homes.Rising sea level flood 150 million https://t.co/n74s57C0ic u think legislators have any idea what climate change is?3 degrees up will cause 1/3 species extinction!
93,2022-07-27T23:06:54.000Z,"Nietzsche's critiques were scathing enough, but of all his prophecies, ""my time has not yet come,"" was most accurate.  Had Nietzsche access to Phenomenology, he would have solved the West's crisis of meaning, but he had to contend with the follies of Hegel and Darwin."
94,2022-07-27T23:06:53.000Z,@WorleyCpw i’m long done buying replacement igniter buttons for my gas grill…i can fire this up in 3 seconds and burn the char off the grids in a minute…
95,2022-07-27T23:06:34.000Z,It’s funny as fuck anytime they make a woman a main character in a male dominated video game you just get to see the collective explosion of these incel niggas heads
96,2022-07-27T23:06:25.000Z,The Needle And The Damage Done https://t.co/2heDuYcbLL
97,2022-07-27T23:06:22.000Z,"@innuendo_gnome @caitoz I don’t care about who made the movie.  The point is, Marxist left wing policies killed over 100 million people last century.  Dwarfing the death toll of both WW2 and WW1.  And this movie is an excellent true story that shines light on one chapter."
98,2022-07-27T23:06:17.000Z,"@SergioMQuintero He’s been in a slump since last season’s collapse.  His approach just doesn’t work, and doesn’t seem to want yo change"
99,2022-07-27T23:05:57.000Z,"@RepTonyGonzales @FoxBusiness This is is the border crisis. Talk about this. Talk about the poorest of the poor that come thousands of dangerous miles to find a better life. That better life is mostly working tough labor, low paying jobs that no one here wants. Address those issues. https://t.co/gEHQk9nVkI"
100,2022-07-27T23:05:51.000Z,"USGS reports a M-0.3 earthquake, 28 km WSW of Mina, Nevada on 7/27/22 @ 5:02:23 UTC https://t.co/aFj4sYitqY #earthquake"
101,2022-07-27T23:05:16.000Z,"@LiamStones23 50/50 lad, I’d like us to win it as I’ve never seen us win the Mcdonals shield in the flesh. But it’s effectively a glorified friendly so not overly fussed by the result, we’ve got some injuries mounting up so probably won’t be favourites."
102,2022-07-27T23:05:01.000Z,@mattxiv Yeah but look what happens when the climate crisis covers the earth in water? Look at the gay man double keel straight people - look at it!! https://t.co/vCsKx6Vs73
103,2022-07-27T23:04:51.000Z,"USGS reports a M1.4 earthquake, 14 km E of Fox, Alaska on 7/27/22 @ 23:00:52 UTC https://t.co/Ekh0R2lTJL #earthquake"
104,2022-07-27T23:04:36.000Z,Hopefully the last soon. Be a great day in America when this disgusting company goes bust\n\nI pray https://t.co/YRssTVth2d
105,2022-07-27T23:04:29.000Z,@elonmusk you stated that you think god would want man to see creation.\n\nSurely he know man will witness its own destruction. I doubt he or she thinks we need to see creation.\n\nHumanity is out in front of its own skis.\n\nSurely you privately can see that.\n\nDoesn't end good.
106,2022-07-27T23:04:07.000Z,"Wednesday 27 July 2022\n23:59 BST\nTemperature: 14.8°C\nWind: SE, 2 mph (ave), 8 mph (gust)\nHumidity: 94%\nRain (today): 0.0 mm\nPressure: 1020 hPa, rising slowly\n#pywws #rpi #weather"
107,2022-07-27T23:04:06.000Z,"@whirlwindjenn @Chaotic_Crash Oh, no, Indian is my jam…I’m all about Asian food of all shapes and sizes…Indian, Thai, Chinese, Japanese, just give it to me"
108,2022-07-27T23:03:10.000Z,"@mhdksafa I won't pray as I am an atheist. However, I hope whatever is going on resolves itself soon."
109,2022-07-27T23:02:55.000Z,I will be standing shoulder to shoulder in solidarity on the picket line with council workers who strike over this pitiful pay proposal. With a cost of living crisis and inflation at a 40+ year high what’s on the table from Cosla &amp; Scottish Govt isn’t going to cut it! https://t.co/K3s5LQCF0e
110,2022-07-27T23:02:16.000Z,"Maison Becker 2024 grad, Team Coastal hits 94.2 mph in arm velo. @CSCNorfolk https://t.co/M6Q1imP9JS"
111,2022-07-27T23:02:11.000Z,Someone just blocked me because I didn't respond 2 his question fast enough concerning jacking off during his session. I run a business &amp; u don't know what I have going on in my personal life. Your urgency is not my emergency. Its time for me 2 take a break from social media.✌🏾 https://t.co/bo0Z4d2XNF
112,2022-07-27T23:02:05.000Z,Pray for me y’all! Lol! Congratulations Pooh!!!! https://t.co/ieWsQdvyL2
113,2022-07-27T23:01:46.000Z,"@ty_olsen In the window breaking case, resources have been destroyed for the same amount that GDP increased. Net gain = 0. In your example, you “hone-produced” your kid’s education in the same amount of the foregone childcare transaction. Net loss = 0."
114,2022-07-27T23:01:45.000Z,"Iqaluit Explosion Rates: -10/10\n\nIf I didn't read about it on social media, I wouldn't have even known it happened.\n\n#IfAnExplosionGoesOffInTheForest"
115,2022-07-27T23:01:39.000Z,"i’ve learned to pray and work quietly. to love intensely and watch people blossom from a distance. everything in life is about balance and when you find it, peace follows."
116,2022-07-27T23:01:35.000Z,"This Covid had me woke up at 4am, cant sleep. Decided to pray and read the Quran, feeling at peace. Maybe this sickness, is a blessing in disguise."
117,2022-07-27T23:00:56.000Z,Don't pray for victory against the enemy. Praise The Lord that We stand in victory over the enemy because we are in Christ Jesus. So in Christ we stand in victory. Amen the battle has been fought and won by Christ at Calvary. So praise the LORD in our Victory battle Cry Amen🙏
118,2022-07-27T23:00:56.000Z,"Broken Arrow, OK (5:51 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 5:51 PM local time and impacted at least 5 homes."
119,2022-07-27T23:00:56.000Z,"Bushkill, PA (6:48 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 6:48 PM local time and impacted at least 7 homes."
120,2022-07-27T23:00:56.000Z,"Broken Arrow, OK (5:46 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 5:46 PM local time and impacted at least 6 homes."
121,2022-07-27T23:00:55.000Z,"Houston, TX (5:44 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 5:44 PM local time and impacted at least 7 homes."
122,2022-07-27T23:00:54.000Z,@BNOFeed Now in this case…I’m with you @c_grutter. This shit is downright terrifying
123,2022-07-27T23:00:53.000Z,"“Whoa, we’re half way there, Whoa, livin’ on a prayer!” This may or may not be your shift motto 😉 At Baylor Scott &amp; White Emergency H... we take pride in making sure our teams have the resources they need to THRIVE &amp; SURVIVE. Apply now: https://t.co/lAy5WaiYJX #Nurse"
124,2022-07-27T23:00:43.000Z,ACCIDENT WITH INJURIES in #Hillsborough on I-275 SB at Howard / Armenia (42). Reported by FHP #traffic https://t.co/KJgf5PvuU6
125,2022-07-27T23:00:29.000Z,"Assalamu alaikum. So let's thank Almighty Allah, let's continue to pray that Almighty Allah will improve our country by Allah permission. God 🙏 bless our country Nigeria Amen. @MBuhari @Alhamdulilah_m @SunnaTvYoruba @sunnahtvnigeria @ProfIsaPantami @MansurSokoto"
126,2022-07-27T23:00:04.000Z,"""It's time to vote them out!"" Donna Watts (Sp?) says of elected officials who have not shown their face in the midst of this housing emergency."
127,2022-07-27T23:00:03.000Z,"@whirlwindjenn @Chaotic_Crash I have a guy on my team that’s Nicaraguan, so he eats the central and South American stuff, we went to a Peruvian Cafe and I ordered fried fish because I didn’t know what the heck anything else was or it didn’t sound appetizing… 🤷🏻‍♂️"
128,2022-07-27T23:00:02.000Z,75.0F (Feels: 80.9F) - Humidity: 97% - Wind: 2.6mph ESE - Gust: 4.7mph - Pressure: 29.973in #weather https://t.co/75yzNJ23Eh
129,2022-07-27T22:59:59.000Z,@SenJohnKennedy I live in a state where REPUBS are in power&amp;the citizens vote for protection &amp;safety of law enforcement!Their authority&amp;\nrespect for keeping us safe&amp;protect\ned by the powers invested in them is\nan honor respected by most citizens.CRIMINAL TARGETING OF POLICE-DEATH PENALTY!
130,2022-07-27T22:59:47.000Z,"This is stuff that I believe is straight out of the nazi handbook, actually terrifying - what happens if this hateful, dead wrong person is the next potus? https://t.co/qYdhirKySv"
131,2022-07-27T22:59:47.000Z,"@jeremyaaronlong The building at 100 Van Ness used to be entirely office, but it took 4 years to completely gut it and make it habitable. I'm sure smaller things could be done to office buildings for emergency/supportive housing. But again, I think that would take larger legislative changes."
132,2022-07-27T22:59:36.000Z,"Joining Chief Doug Cline @dcline11 tonight @fireengineering podcast at 19:30 Talking about resort fires in coastal and lake areas.  Focus on building construction, access, suppression, rescue OPS and evacuation issues &amp; more: join-in @fireengineering blogtalk radio https://t.co/Z2oTeKzOHD"
133,2022-07-27T22:59:19.000Z,Coaches in Kenya(I think) lack a level of adaptability that they can also pass on to the young players. The true culprits are the schools and FKF. Schools(both primary and secondary) have done more damage to youth development than even corruption. It seems a - [9/18]
134,2022-07-27T22:58:52.000Z,"USGS reports a M0.3 earthquake, 27 km SW of Mina, Nevada on 7/27/22 @ 3:32:23 UTC https://t.co/Qnc2MQpavH #earthquake"
135,2022-07-27T22:58:49.000Z,"@Cartmanhead @DuncansPhoto @MattBearClark @fehrbehr70 @humble Good that we still have emergency services. A tough job at the best of times, but I’m not sure anyone guessed we’d have an on-going situation, whether it be storms, heat, war or plague. Thank F for games! 🙌🏼"
136,2022-07-27T22:58:34.000Z,"…..considered the protest illegal because, among other things, they didn’t have a permit and were violating Highway Traffic Act, local bylaws, and later, the Ontario state of emergency and federal Emergencies Act….2/2"
137,2022-07-27T22:58:18.000Z,"Or is this all just a purposeful ploy to bilk normies like me out of their $$, while at the same time, the city lets its bridges rust and collapse into the hollows?"
138,2022-07-27T22:57:55.000Z,@mattnightingale There’s an HGTV famous person that used to follow me and then via Twitter talked me down from sheer terror and panic while I was in the middle of labor and being told we had to do an emergency c section.
139,2022-07-27T22:57:16.000Z,.@ChuckGrassley and @KimReynoldsIA's donors when they see that tax enforcement line item. https://t.co/YenPoaPCwF https://t.co/sBxLkr2hEw
140,2022-07-27T22:57:02.000Z,@chigrl When shit hits the fan oil will go to 200 and then zero in a week after the demand destruction
141,2022-07-27T22:56:44.000Z,"@JoeDGraves @JimHague9 @CrockpotIi @alaynatreene How do you know for sure God doesn't exist.\nWhy not simply ask him to keep his promise and reveal himself to you.\nIf He doesn't exist, nothing will happen.\nThis is the most important decision you will ever make.\nDoing nothing is a decision.\nI will pray that God reveals himself."
142,2022-07-27T22:55:43.000Z,Police activity cleared from the roadway. in #Austin on TX-45-TOLL EB at FM-734/Parmer Ln #ATXtraffic https://t.co/8laei8iLor
